metric,value
rows_with_explicit_free_shipping_in_raw_text,7536
rows_with_explicit_paid_shipping_in_raw_text,1835
rows_with_unknown_contact_courier_shipping_in_raw_text,53
rows_with_unclassified_other_shipping_text,0
stored_free_shipping_with_positive_price_rows,0
stored_paid_shipping_with_zero_price_rows,98
explicit_paid_rows_with_stored_price_mismatch,45
explicit_paid_rows_with_stored_price_match,1790
explicit_paid_rows_with_mode_mismatch,0
explicit_free_rows_with_mode_mismatch,0
