timestamp,buy_box,visibility_order,condizione,venduto_da,spedito_da,num_valutazioni,valutazioni_positive,prezzo,qta_min,prezzo_prod_venduto(€),tipo_spedizione,prezzo_spedizione(€),prezzo_totale(€),dif_prezzo,dif_prezzo_sped,dif_prezzo_tot,g_cons_min,g_cons_max,g_spedizione,g_cons_vel_min,g_cons_vel_max,g_spedizione_vel,spedizione_consegna,condizione_usato,stelle,delta_consegna,delta_num_val,delta_val_pos(%),rapp_piu_basso,fba,vend_amazon,timestamp_dt,prezzo_totale_reconstructed,amazon_retail_from_name,amazon_warehouse_from_name,third_party_from_name,fba_from_shipper,seller_type_from_name,is_malformed_row,prezzo_totale_gap,prezzo_totale_gap_abs,g_cons_min_original_parser,g_cons_max_original_parser,g_cons_vel_min_original_parser,g_cons_vel_max_original_parser,g_cons_min_robust,g_cons_max_robust,g_cons_vel_min_robust,g_cons_vel_max_robust,has_raw_delivery_text,has_stored_delivery_signal,original_parser_has_signal,robust_parser_has_signal,parsed_shipping_price,parsed_shipping_mode,stored_shipping_mode,shipping_mode_matches_raw_text,shipping_price_matches_raw_text,rank_new,rank_pos,market_size,rank_pct,strict_offer_signature,relaxed_offer_signature,offer_state_signature_core
2022-02-07T12:05:05,0,13,Nuovo,Bwilld,Amazon,101,100,43.99,1,43.99,Gratuita,0.0,43.99,15.04,0.0,15.04,3,3,0,0,0,0,"Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",,5.0,1,14225,0,1.51,True,False,2022-02-07 12:05:05,43.99,False,False,True,True,third_party,False,0.0,0.0,3.0,3.0,0.0,0.0,3,3,0,0,True,True,True,True,0.0,free_explicit,free,True,True,11,12,87,0.12790697674418605,"2022-02-07T12:05:05 || Nuovo || Bwilld || Amazon || 43.99 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni || 101 || 100 || 5.0","2022-02-07T12:05:05 || Nuovo || Bwilld || Amazon || 43.99 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",Bwilld || Amazon || 43.99 || 0.0 || True || third_party
2022-02-07T12:05:05,0,14,Nuovo,New World EU Store,Amazon,6,100,43.99,1,43.99,Gratuita,0.0,43.99,15.04,0.0,15.04,3,3,0,0,0,0,"Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",,5.0,1,14320,0,1.51,True,False,2022-02-07 12:05:05,43.99,False,False,True,True,third_party,False,0.0,0.0,3.0,3.0,0.0,0.0,3,3,0,0,True,True,True,True,0.0,free_explicit,free,True,True,12,13,87,0.13953488372093023,"2022-02-07T12:05:05 || Nuovo || New World EU Store || Amazon || 43.99 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni || 6 || 100 || 5.0","2022-02-07T12:05:05 || Nuovo || New World EU Store || Amazon || 43.99 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",New World EU Store || Amazon || 43.99 || 0.0 || True || third_party
2022-02-07T12:05:05,0,15,Nuovo,i-Storeparts srl,i-Storeparts srl,0,0,44.9,1,44.9,Gratuita,0.0,44.9,15.95,0.0,15.95,8,8,0,2,3,1,"Spedizione GRATUITA: martedì, 15 feb Maggiori informazioni Consegna più veloce: 9 - 10 feb Maggiori informazioni",,0.0,0,14326,100,1.55,False,False,2022-02-07 12:05:05,44.9,False,False,True,False,third_party,False,0.0,0.0,8.0,8.0,2.0,3.0,8,8,2,3,True,True,True,True,0.0,free_explicit,free,True,True,13,14,87,0.1511627906976744,"2022-02-07T12:05:05 || Nuovo || i-Storeparts srl || i-Storeparts srl || 44.9 || 0.0 || Spedizione GRATUITA: martedì, 15 feb Maggiori informazioni Consegna più veloce: 9 - 10 feb Maggiori informazioni || 0 || 0 || 0.0","2022-02-07T12:05:05 || Nuovo || i-Storeparts srl || i-Storeparts srl || 44.9 || 0.0 || Spedizione GRATUITA: martedì, 15 feb Maggiori informazioni Consegna più veloce: 9 - 10 feb Maggiori informazioni",i-Storeparts srl || i-Storeparts srl || 44.9 || 0.0 || False || third_party
2022-02-07T12:05:05,0,16,Nuovo,oltrade,Amazon,36,100,44.99,1,44.99,Gratuita,0.0,44.99,16.04,0.0,16.04,3,3,0,0,0,0,"Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",,5.0,1,14290,0,1.55,True,False,2022-02-07 12:05:05,44.99,False,False,True,True,third_party,False,0.0,0.0,3.0,3.0,0.0,0.0,3,3,0,0,True,True,True,True,0.0,free_explicit,free,True,True,14,15,87,0.16279069767441862,"2022-02-07T12:05:05 || Nuovo || oltrade || Amazon || 44.99 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni || 36 || 100 || 5.0","2022-02-07T12:05:05 || Nuovo || oltrade || Amazon || 44.99 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",oltrade || Amazon || 44.99 || 0.0 || True || third_party
2022-02-07T12:05:05,0,17,Nuovo,EURO DK,Amazon,2106,99,45.33,1,45.33,Gratuita,0.0,45.33,16.38,0.0,16.38,9,9,0,0,0,0,"Spedizione GRATUITA: mercoledì, 16 feb Maggiori informazioni",,5.0,7,12220,1,1.56,True,False,2022-02-07 12:05:05,45.33,False,False,True,True,third_party,False,0.0,0.0,9.0,9.0,0.0,0.0,9,9,0,0,True,True,True,True,0.0,free_explicit,free,True,True,15,16,87,0.1744186046511628,"2022-02-07T12:05:05 || Nuovo || EURO DK || Amazon || 45.33 || 0.0 || Spedizione GRATUITA: mercoledì, 16 feb Maggiori informazioni || 2106 || 99 || 5.0","2022-02-07T12:05:05 || Nuovo || EURO DK || Amazon || 45.33 || 0.0 || Spedizione GRATUITA: mercoledì, 16 feb Maggiori informazioni",EURO DK || Amazon || 45.33 || 0.0 || True || third_party
2022-02-07T12:05:05,0,18,Nuovo,R-Shop360,R-Shop360,93,93,40.26,1,40.26,A Pagamento,5.07,45.33,11.3,5.07,16.38,8,10,2,0,0,0,"Consegna a 5,07 € : 15 - 17 feb Maggiori informazioni",,4.5,6,14233,7,1.56,False,False,2022-02-07 12:05:05,45.33,False,False,True,False,third_party,False,0.0,0.0,,,,,8,10,0,0,True,True,False,True,5.07,paid_explicit,paid,True,True,16,17,87,0.18604651162790697,"2022-02-07T12:05:05 || Nuovo || R-Shop360 || R-Shop360 || 40.26 || 5.07 || Consegna a 5,07 € : 15 - 17 feb Maggiori informazioni || 93 || 93 || 4.5","2022-02-07T12:05:05 || Nuovo || R-Shop360 || R-Shop360 || 40.26 || 5.07 || Consegna a 5,07 € : 15 - 17 feb Maggiori informazioni",R-Shop360 || R-Shop360 || 45.33 || 5.07 || False || third_party
2022-02-07T12:05:05,0,19,Nuovo,KSL Global Store,Amazon,1,100,45.99,1,45.99,Gratuita,0.0,45.99,17.04,0.0,17.04,4,4,0,0,0,0,"Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni",,5.0,2,14325,0,1.58,True,False,2022-02-07 12:05:05,45.99,False,False,True,True,third_party,False,0.0,0.0,4.0,4.0,0.0,0.0,4,4,0,0,True,True,True,True,0.0,free_explicit,free,True,True,17,18,87,0.19767441860465115,"2022-02-07T12:05:05 || Nuovo || KSL Global Store || Amazon || 45.99 || 0.0 || Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni || 1 || 100 || 5.0","2022-02-07T12:05:05 || Nuovo || KSL Global Store || Amazon || 45.99 || 0.0 || Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni",KSL Global Store || Amazon || 45.99 || 0.0 || True || third_party
2022-02-07T12:05:05,0,20,Nuovo,kemite electronics store,kemite electronics store,159,85,45.99,1,45.99,Gratuita,0.0,45.99,17.04,0.0,17.04,21,37,16,0,0,0,Spedizione GRATUITA: 28 feb - 16 mar Maggiori informazioni,,4.5,19,14167,15,1.58,False,False,2022-02-07 12:05:05,45.99,False,False,True,False,third_party,False,0.0,0.0,21.0,37.0,0.0,0.0,21,37,0,0,True,True,True,True,0.0,free_explicit,free,True,True,18,19,87,0.20930232558139536,2022-02-07T12:05:05 || Nuovo || kemite electronics store || kemite electronics store || 45.99 || 0.0 || Spedizione GRATUITA: 28 feb - 16 mar Maggiori informazioni || 159 || 85 || 4.5,2022-02-07T12:05:05 || Nuovo || kemite electronics store || kemite electronics store || 45.99 || 0.0 || Spedizione GRATUITA: 28 feb - 16 mar Maggiori informazioni,kemite electronics store || kemite electronics store || 45.99 || 0.0 || False || third_party
2022-02-07T12:05:05,0,21,Nuovo,Cyuet,Amazon,76,100,46.0,1,46.0,Gratuita,0.0,46.0,17.05,0.0,17.05,4,4,0,0,0,0,"Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni",,5.0,2,14250,0,1.58,True,False,2022-02-07 12:05:05,46.0,False,False,True,True,third_party,False,0.0,0.0,4.0,4.0,0.0,0.0,4,4,0,0,True,True,True,True,0.0,free_explicit,free,True,True,19,20,87,0.22093023255813954,"2022-02-07T12:05:05 || Nuovo || Cyuet || Amazon || 46.0 || 0.0 || Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni || 76 || 100 || 5.0","2022-02-07T12:05:05 || Nuovo || Cyuet || Amazon || 46.0 || 0.0 || Spedizione GRATUITA: venerdì, 11 feb Maggiori informazioni",Cyuet || Amazon || 46.0 || 0.0 || True || third_party
2022-02-07T12:05:05,0,22,Nuovo,Xiaomi Home,Amazon,476,95,46.0,1,46.0,Gratuita,0.0,46.0,17.05,0.0,17.05,3,3,0,0,0,0,"Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",,4.5,1,13850,5,1.58,True,False,2022-02-07 12:05:05,46.0,False,False,True,True,third_party,False,0.0,0.0,3.0,3.0,0.0,0.0,3,3,0,0,True,True,True,True,0.0,free_explicit,free,True,True,20,21,87,0.23255813953488372,"2022-02-07T12:05:05 || Nuovo || Xiaomi Home || Amazon || 46.0 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni || 476 || 95 || 4.5","2022-02-07T12:05:05 || Nuovo || Xiaomi Home || Amazon || 46.0 || 0.0 || Spedizione GRATUITA: giovedì, 10 feb Maggiori informazioni",Xiaomi Home || Amazon || 46.0 || 0.0 || True || third_party
