split,feature_set,attempted_splits,valid_splits,invalid_splits,mean_average_precision,sd_average_precision,mean_roc_auc,sd_roc_auc,mean_test_prevalence
market_grouped,no_seller_identity,20,20,0,0.8875665360454779,0.03255514526720002,0.9949675439315723,0.0010377873755973775,0.0606505823543124
market_grouped,with_seller_identity,20,20,0,0.9360732534521053,0.013192184022137784,0.9962660173423495,0.0006997258772454667,0.0606505823543124
random_row,no_seller_identity,20,20,0,0.87936626951382,0.032814580304089874,0.9948372162485066,0.0012858849032591703,0.060665362035225046
random_row,with_seller_identity,20,20,0,0.9263118320185552,0.030523124963107027,0.9958852299880526,0.0013995326817890375,0.060665362035225046
seller_blocked,no_seller_identity,20,19,1,0.7421908158678641,0.23534773841411266,0.966366703755999,0.10272584303436756,0.05324058816087489
seller_blocked,with_seller_identity,20,19,1,0.6614073508252774,0.24640256296582314,0.9562406075679185,0.09393485502600755,0.05324058816087489
