fba_from_shipper,prezzo_totale_reconstructed_count,prezzo_totale_reconstructed_mean,prezzo_totale_reconstructed_median,prezzo_totale_reconstructed_min,prezzo_totale_reconstructed_max,prezzo_spedizione(€)_count,prezzo_spedizione(€)_mean,prezzo_spedizione(€)_median,prezzo_spedizione(€)_min,prezzo_spedizione(€)_max,g_cons_min_robust_count,g_cons_min_robust_mean,g_cons_min_robust_median,g_cons_min_robust_min,g_cons_min_robust_max,num_valutazioni_count,num_valutazioni_mean,num_valutazioni_median,num_valutazioni_min,num_valutazioni_max,log1p_num_valutazioni_count,log1p_num_valutazioni_mean,log1p_num_valutazioni_median,log1p_num_valutazioni_min,log1p_num_valutazioni_max,valutazioni_positive_count,valutazioni_positive_mean,valutazioni_positive_median,valutazioni_positive_min,valutazioni_positive_max,stelle_count,stelle_mean,stelle_median,stelle_min,stelle_max
False,4111,55.86295305278521,55.39,35.0,91.18,4111,3.5281245439065922,0.0,0.0,21.09,4111,6.939430795426904,6.0,2,28,4111,1479.7134517149111,241.0,0,21464,4111,5.545440774283368,5.488937726156687,0.0,9.97417898065866,4111,82.39114570664071,87.0,0,100,4111,4.22597908051569,4.5,0.0,5.0
True,996,45.10348393574297,44.99,38.0,59.99,996,0.0,0.0,0.0,0.0,996,6.6656626506024095,6.0,3,60,996,317.6315261044177,74.0,1,2120,996,4.1918229191999865,4.31748811353631,0.6931471805599453,7.659642954564682,996,94.99397590361446,97.0,71,100,996,4.710843373493976,4.5,4.0,5.0
