metric,value
third_party_sellers_in_nuovo_offer_raw,119
third_party_sellers_in_all_62_markets,52
third_party_sellers_with_both_fba_statuses_in_raw_nuovo,2
third_party_sellers_with_mixed_within_market_status,2
third_party_sellers_with_across_market_fba_switch_in_seller_best,0
