metric,value
third_party_sellers_total,119.0
third_party_sellers_in_all_62_markets,52.0
all_62_sellers_with_any_rank_change,52.0
share_all_62_sellers_with_any_rank_change,1.0
median_rank_range_among_all_62_sellers,11.5
median_rank_pct_range_among_all_62_sellers,0.1062124154229417
max_rank_range_among_all_62_sellers,33.0
max_rank_pct_range_among_all_62_sellers,0.3839379011792805
