model_label,price_measure,star_form,positive_review_form,fba_from_shipper,0.01,0.05,0.1,0.25,0.5,0.75,0.9,0.95,0.99
split_price_linear_stars,split_price,linear_stars,positive_reviews_included,0,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,0.0031295183366713297,0.05821330911903988,0.25890324812384674,0.383258736056125,0.8807065749703915
split_price_linear_stars,split_price,linear_stars,positive_reviews_included,1,0.1852774157865888,0.20699598444111733,0.241356759336682,0.5101253443286257,0.8053950012035744,0.8996666605038538,0.9808990411837575,0.9865109595490887,0.9891163714696969
split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,0,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,0.0037523455602179625,0.08187759796726332,0.2751937057785157,0.44018669056358817,0.7245655544755633
split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,1,0.06676929226912505,0.077470944570905,0.27882906656442585,0.4599740416364568,0.7371089427972853,0.8819271637581114,0.9642408260096731,0.9737914010371123,0.9784840449319482
split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,0,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,0.0002537805384385707,0.05390430260305161,0.2528939595017021,0.39462643864717706,0.8762962831102449
split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,1,0.18902086648895136,0.2146745573317403,0.248052290707298,0.5046974217058515,0.804044875878645,0.8976365332072298,0.9831633226975314,0.9879974831979251,0.9905500473220142
split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,0,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,6.305116760146985e-16,0.00011231608564234004,0.06827941274327737,0.29772181144773935,0.45550875678382924,0.7745873032338835
split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,1,0.07866723027092977,0.11450836275359881,0.2400138745528396,0.4747681416846762,0.7521049304806816,0.8986338085617548,0.9641832560518204,0.9724327587340614,0.9784645161831906
total_price_linear_stars,total_price,linear_stars,positive_reviews_included,0,6.305116760146985e-16,1.1594713341022561e-05,0.00023950741128269952,0.0010779095089825275,0.012914507511824148,0.07758563555708947,0.27084609277554805,0.42241406656565844,0.8388516698294503
total_price_linear_stars,total_price,linear_stars,positive_reviews_included,1,0.06088077549549073,0.07237006426529724,0.18540247193442794,0.4375931405529322,0.7382142074416574,0.8605501988152338,0.9647991727139262,0.9764575917432983,0.9805555909175235
total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,0,6.305116760146985e-16,1.28924659006043e-05,0.00013353988174739627,0.0018939971288462,0.012085438804493214,0.11650176021433134,0.2583472100887365,0.4326545522564978,0.7204172437317218
total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,1,0.02594915317735832,0.031486444987888405,0.22723026535918944,0.4530289277448912,0.695233481380095,0.8631936214838357,0.954432753393561,0.969818625595473,0.9737192672667864
total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,0,6.305116760146985e-16,6.305116760146985e-16,1.411586867665636e-15,0.0006996030763334382,0.011539846133779163,0.08373386387725804,0.2670448603869705,0.40817872766559665,0.8343303584793548
total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,1,0.06270303571446798,0.0780204496442655,0.1883902754363545,0.4372427291728256,0.7460135703658162,0.8619088560247047,0.9671270173503262,0.9772064505713656,0.9818006445810339
total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,0,6.305116760146985e-16,6.305116760146985e-16,2.1157185298091188e-15,0.0005121786060545784,0.011485208328803011,0.12210606392947088,0.25988572107635965,0.39747183089694704,0.754955273369877
total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,1,0.03333416318632334,0.0389282515565616,0.20275552812875627,0.4461625392033376,0.6896139789145306,0.885195942727897,0.9532269866131317,0.9694362821491974,0.9725988873643121
