sample,outcome,specification,estimator,inference,term_name,coef_fba,se_fba,test_statistic,pvalue_fba,ci_low,ci_high,stars,dof_reference,nobs,r_squared,seller_clusters,market_clusters,markets
full_sample,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05103815170628886,0.015968230038121634,-3.196230990187598,0.0022065363914001157,-0.08296860110114151,-0.0191077023114362,***,61,5107,0.9593810046078374,119,62,62
drop_review_problem,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05382626332808874,0.016112756053061825,-3.340599407750632,0.0014306069761986784,-0.08604571035106114,-0.02160681630511635,***,61,5015,0.959198672337785,117,62,62
drop_contact_courier,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.051031173629359425,0.015969482838744855,-3.19554328369035,0.0022110374977106773,-0.08296412815388557,-0.01909821910483328,***,61,5057,0.9592967192223476,119,62,62
drop_delivery_failure_markets,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04872679294513989,0.015490646348846449,-3.145562286286941,0.002653588638024118,-0.07975828647242121,-0.01769529941785857,***,56,4654,0.9605107522388596,119,57,57
