threshold_label,risk_set_observations,risk_set_sellers,risk_set_transitions,events,event_rate,fba_risk_observations,nonfba_risk_observations,fba_events,nonfba_events,fba_event_rate,nonfba_event_rate,transitions_with_events,sellers_with_events,max_events_in_single_transition,max_events_in_single_seller,rare_event_warning,support_warning
top_5,4660,109,61,10,0.002145922746781116,803,3857,6,4,0.007471980074719801,0.0010370754472387865,9,7,2,3,True,sparse-event support; usable only as auxiliary salience evidence with finite-cluster and fitted-probability caveats
top_10,4366,97,61,20,0.004580852038479157,632,3734,15,5,0.023734177215189875,0.001339046598821639,18,8,2,7,True,sparse-event support; usable only as auxiliary salience evidence with finite-cluster and fitted-probability caveats
top_15,4063,93,61,19,0.004676347526458282,440,3623,11,8,0.025,0.0022081148219707425,17,11,2,4,True,sparse-event support; usable only as auxiliary salience evidence with finite-cluster and fitted-probability caveats
top_20,3759,87,61,20,0.005320563979781857,243,3516,10,10,0.0411522633744856,0.002844141069397042,19,8,2,5,True,sparse-event support; usable only as auxiliary salience evidence with finite-cluster and fitted-probability caveats
top_quartile,3700,89,61,23,0.006216216216216216,240,3460,9,14,0.0375,0.004046242774566474,23,11,1,4,True,sparse-event support; usable only as auxiliary salience evidence with finite-cluster and fitted-probability caveats
