exposed_to_dropout_above,fba_from_shipper,observations,sellers,transitions,mean_dropouts_above,mean_rank_pct_improvement,median_rank_pct_improvement,mean_lag_rank_pct,mean_lead_rank_pct
0,0,2484,87,56,0.0,-0.0010273330610018154,0.0,0.523629635439265,0.5246569685002668
0,1,735,26,58,0.0,-0.0015470844210618432,0.0,0.1768471867112598,0.17839427113232162
1,0,1512,83,35,1.4001322751322751,0.003474366877906246,0.0024259448416752427,0.6539412059098716,0.6504668390319653
1,1,227,22,26,1.2070484581497798,0.007775073358147781,0.008601103537812349,0.26293693680860636,0.2551618634504586
