feature,model_term,raw_coefficient,cluster_robust_se,test_statistic,pvalue,ci_low,ci_high,stars,feature_mean,feature_sd,outcome_sd,standardized_coefficient,standardized_se,standardization_note,status
fba_from_shipper,fba_from_shipper,-0.05103815170625882,0.01596823003812146,-3.1962309901857515,0.002206536391412328,-0.08296860110111112,-0.01910770231140651,***,0.1950264343058547,0.39625985240613165,0.292230096359729,-0.06920700747163326,0.021652692713429716,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
log1p_num_valutazioni,log1p_num_valutazioni,-0.0038228238519590167,0.0025384623103555867,-1.5059604534461326,0.13723847019334645,-0.00889879295736679,0.0012531452534487574,,5.281449510593718,2.3043138925294038,0.292230096359729,-0.030144007138533248,0.02001646661408263,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
valutazioni_positive,valutazioni_positive,0.0005902025082378348,0.0012623051082821233,0.4675593122181404,0.6417658428669872,-0.0019339325577426895,0.003114337574218359,,84.84903074211866,17.09215937223581,0.292230096359729,0.034520179332509546,0.07383058882677992,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
stelle,stelle,-0.02065656355988813,0.026193253030779462,-0.7886215406545641,0.43338750832675155,-0.07303321008797492,0.03172008296819866,,4.320540434697474,0.7609721384231908,0.292230096359729,-0.05379004264260581,0.06820767614077534,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
prezzo,prezzo,0.03057857387086621,0.0011892033217688266,25.713495170349418,0.0,0.028200614861302938,0.03295653288042948,***,50.92452516154298,7.969335768910332,0.292230096359729,0.8339008389176406,0.03243047409125551,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
prezzo_spedizione_repaired,prezzo_spedizione_repaired,0.030282818158736322,0.00152542248048926,19.85208592771197,0.0,0.027232547389668516,0.03333308892780413,***,2.906107303700803,4.966114334277829,0.292230096359729,0.5146216601705015,0.025922800356819414,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
contact_courier_flag,contact_courier_flag,0.330591798686353,0.014237647338772233,23.219552417630062,0.0,0.30212186327290363,0.3590617340998024,***,0.009790483649892304,0.0984709538590889,0.292230096359729,0.1113974575519565,0.00479757126874569,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
g_cons_min_robust,g_cons_min_robust,-0.002791475569476936,0.0012390521083713983,-2.2529121661767983,0.02787233243355769,-0.00526911338841409,-0.00031383775053978264,**,6.885255531623262,3.590603345095635,0.292230096359729,-0.03429859430076781,0.015224115176657184,Raw coefficient scaled by feature SD and rank_pct SD.,estimated
