variable,mean_change_dropout_sellers,mean_change_continuing_sellers,difference,standardized_difference,pvalue_welch,economic_nontrivial_threshold,economically_nontrivial,materially_abnormal,n_dropout_observations,n_continuing_observations,smoothness_flag
rank_pct,-0.001030323508378219,-0.0007248902415426726,-0.0003054332668355463,-0.013209938049872146,0.9037357138501385,0.025,False,False,25,4874,not_materially_abnormal
rank_pos,0.04,0.05293393516618793,-0.012933935166187932,-0.006587144684376034,0.9556050548760091,2.0,False,False,25,4874,not_materially_abnormal
prezzo,-0.03920000000000016,-0.0038613048830529353,-0.035338695116947226,-0.055163026715786496,0.39796842265318877,1.0,False,False,25,4874,not_materially_abnormal
prezzo_totale_reconstructed,-0.03920000000000016,-0.0035289290110792006,-0.03567107098892096,-0.05189607437953031,0.39687260761402043,1.0,False,False,25,4874,not_materially_abnormal
prezzo_spedizione_repaired,0.0,0.00033237587197373805,-0.00033237587197373805,-0.0013351691275922816,0.9474506441293196,0.5,False,False,25,4874,not_materially_abnormal
g_cons_min_robust,0.64,-0.003487894952810833,0.6434878949528109,0.5367522561987894,0.008178831900025187,1.0,False,True,25,4874,materially_abnormal
log1p_num_valutazioni,0.0002128283305632195,0.0012097352466579289,-0.0009969069160947093,-0.08912047388070116,0.0012346505329301157,0.1,False,False,25,4874,not_materially_abnormal
valutazioni_positive,0.0,0.009232663110381617,-0.009232663110381617,-0.007130276945101916,0.7248586498409815,2.0,False,False,25,4874,not_materially_abnormal
stelle,0.0,0.0004103405826836274,-0.0004103405826836274,-0.006528778556514417,0.7472395977925084,0.1,False,False,25,4874,not_materially_abnormal
