bound_type,estimand,estimate,se,pvalue,ci_low,ci_high,condition_number,finite_design_warning,interpretation
joint_covariance_excess,lambda_above_minus_lambda_below,,,,,,7705376778669.632,True,"Joint above-minus-below excess is not interpreted because the residualized joint design is ill-conditioned, condition number=7.71e+12. Use the separate-model approximation for the reported local-mechanism bound."
separate_model_excess_approximation,lambda_above_minus_lambda_below,0.00022139645785704178,0.0020188004829028616,0.9130391891089022,-0.003735452488632567,0.0041782454043466505,,False,Transparent approximation using separate above-only and below-only rows. It is reported only to show the magnitude of the excess local-above component.
