variable,mean_fba,mean_nonfba,median_fba,median_nonfba,smd_fba_minus_nonfba
prezzo_totale_reconstructed,45.10348393574298,55.945018243736314,44.99,55.39,-1.5525162229632423
prezzo,45.10348393574298,52.33482850887862,44.99,50.7,-1.1014201409857542
prezzo_spedizione_repaired,0.0,3.6101897348576983,0.0,0.0,-0.9632078566444843
g_cons_min_robust,6.662650602409639,6.93918754560934,6.0,6.0,-0.0756468503152521
fast_delivery_available,0.1465863453815261,0.20530284602286547,0.0,0.0,-0.15461945298409027
fast_delivery_cost_imputed,0.7314658634538153,0.0,0.0,0.0,0.585819513772586
num_valutazioni,317.6315261044177,1479.7134517149111,74.0,241.0,-0.6040111412456127
log1p_num_valutazioni,4.1918229191999865,5.545440774283369,4.31748811353631,5.488937726156687,-0.6303781766680869
valutazioni_positive,94.99397590361446,82.39114570664071,97.0,87.0,0.9469769709151433
stelle,4.710843373493976,4.22597908051569,4.5,4.5,0.79507472888128
