sample,rows,fba_rows,nonfba_rows,residual_mean_fba,residual_mean_nonfba,residual_difference_fba_minus_nonfba,t_stat,pvalue
full_sample,5107,996,4111,-0.024888833411790667,0.006029987370020942,-0.030918820781811608,-20.89115576876412,0.0
common_support,2205,934,1271,-9.894927174927367e-05,7.271331219882088e-05,-0.00017166258394809455,-0.17693288660793643,0.8595995068448823
