sample,outcome,specification,estimator,inference,term_name,coef_fba,se_fba,test_statistic,pvalue_fba,ci_low,ci_high,stars,dof_reference,nobs,r_squared,seller_clusters,market_clusters,markets
estimation_sample,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04417612633917579,0.014616479773230918,-3.0223505949826124,0.004015823490383319,-0.07356452860534543,-0.014787724073006152,***,48,3931,0.9634356479834931,113,49,49
holdout_sample,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.06443281933926787,0.01908834560794228,-3.3755056966518175,0.005513785945892247,-0.10602275164690186,-0.022842887031633875,***,12,1176,0.9588652669998711,97,13,13
