variable,estimate,se,pvalue,concern_flag
fba_from_shipper,0.006330450230630835,0.007591139597659332,0.4043225698033047,not significant
lag_rank_pct,0.00897314160017495,0.03538993193346057,0.7998426968512473,not significant
lag_prezzo,-0.00010329867025475473,0.0011819373589233696,0.9303553547882796,not significant
lag_spedizione,-0.0004052220824434675,0.0011967467470843575,0.7349087948309143,not significant
lag_log1p_reviews,-0.0003048691731638181,0.0011297826593180899,0.7872774780244493,not significant
lag_stelle,0.006242886963325972,0.0028405107221069394,0.027963047763219662,systematic predictor (p<0.05)
lag_delivery,0.003041363261194539,0.001105810173291039,0.005953192775503422,systematic predictor (p<0.05)
