sample,outcome,specification,estimator,inference,term_name,coef_fba,se_fba,test_statistic,pvalue_fba,ci_low,ci_high,stars,dof_reference,nobs,r_squared,seller_clusters,market_clusters,restriction,cutoff,rows_dropped
full_sample,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05103815170628886,0.015968230038121634,-3.196230990187598,0.0022065363914001157,-0.08296860110114151,-0.0191077023114362,***,61,5107,0.9593810046078374,119,62,none,,
delivery_tail_sensitivity,rank_pct,drop_top_1pct_g_cons_min_robust,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05233646833147513,0.01601318693289794,-3.26833556310728,0.001779561238691052,-0.08435681459343063,-0.020316122069519632,***,61,5071,0.9608720143514777,117,62,drop rows with g_cons_min_robust above p99,19.0,36.0
delivery_tail_sensitivity,rank_pct,drop_top_1pct_g_cons_max_robust,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05207991606525343,0.01613601393610137,-3.2275577023848605,0.0020103896583618663,-0.08434587009968875,-0.01981396203081811,***,61,5060,0.9607480612979097,117,62,drop rows with g_cons_max_robust above p99,33.0,47.0
