variable,fba_mean,nonfba_mean,mean_difference,smd,within_market_pvalue,balance_flag
rank_pct,0.20077325041537622,0.32346346665606424,-0.12269021624068802,-0.6926005056398187,0.0,material (|SMD|>0.25)
prezzo,45.274164882226984,46.65392604248623,-1.3797611602592497,-0.2765671037239839,0.0,material (|SMD|>0.25)
log1p_num_valutazioni,4.381407065231803,5.563282399572072,-1.181875334340269,-0.5836178555459498,0.0,material (|SMD|>0.25)
stelle,4.700749464668094,4.56294256490952,0.13780689975857463,0.41052428762837334,0.0,material (|SMD|>0.25)
valutazioni_positive,94.76017130620986,91.60267505900866,3.1574962472011947,0.43257879330467475,0.0,material (|SMD|>0.25)
g_cons_min_robust,6.646680942184155,6.324940991345398,0.32173995083875706,0.082669616618931,0.10975109065247568,good (|SMD|<=0.10)
