term,estimate,se,t_stat,pvalue,ci_low,ci_high,absorbed_or_missing,nobs,model_role,condition_number,ill_conditioned_flag,n_regressors_after_absorption,interpretation
fba_x_future_dropouts_total,6.346067672362884e-05,0.00043843876014040036,0.1447423961862016,0.8854075805042818,-0.0008138532558920628,0.0009407746093393204,False,4869,future_turnover_placebo,776.8119675526302,False,9,Future turnover should not predict current FBA rank improvement if the design is not driven by differential pre-trends.
fba_x_dropouts_total_focal,0.0003137551644251883,0.0004191981312661645,0.7484650837481273,0.4571530681813636,-0.0005250583587416458,0.0011525686875920225,False,4844,pretrend_turnover_placebo,761.979829387072,False,9,Current turnover should not predict a seller's previous rank movement.
