grouping_col,left_out_group,observed_beta,leave_one_beta,delta
transition_id,01_to_02,0.012173656953167331,0.012418492723330635,0.00024483577016330346
transition_id,02_to_03,0.012173656953167331,0.012104067423337417,-6.958952982991443e-05
transition_id,03_to_04,0.012173656953167331,0.012651403782068492,0.00047774682890116063
transition_id,04_to_05,0.012173656953167331,0.01239568225907167,0.000222025305904339
transition_id,05_to_06,0.012173656953167331,0.011937761856448683,-0.00023589509671864857
transition_id,06_to_07,0.012173656953167331,0.012079905848609135,-9.375110455819673e-05
transition_id,07_to_08,0.012173656953167331,0.011927087551299705,-0.0002465694018676263
transition_id,08_to_09,0.012173656953167331,0.01192970164969801,-0.0002439553034693214
transition_id,09_to_10,0.012173656953167331,0.013422218173907454,0.0012485612207401228
transition_id,10_to_11,0.012173656953167331,0.012337205623911269,0.0001635486707439373
transition_id,11_to_12,0.012173656953167331,0.012707436036573157,0.0005337790834058255
transition_id,12_to_13,0.012173656953167331,0.011830845722186971,-0.00034281123098036
transition_id,13_to_14,0.012173656953167331,0.012161775239426516,-1.1881713740814759e-05
transition_id,14_to_15,0.012173656953167331,0.012095834280570258,-7.782267259707348e-05
transition_id,15_to_16,0.012173656953167331,0.01203190660194775,-0.0001417503512195807
transition_id,16_to_17,0.012173656953167331,0.012161277740359307,-1.2379212808024537e-05
transition_id,17_to_18,0.012173656953167331,0.012598524237345516,0.0004248672841781851
transition_id,18_to_19,0.012173656953167331,0.012133756356425494,-3.99005967418372e-05
transition_id,19_to_20,0.012173656953167331,0.014910929722637179,0.002737272769469848
transition_id,20_to_21,0.012173656953167331,0.012365583946717822,0.0001919269935504904
transition_id,21_to_22,0.012173656953167331,0.01188672889076108,-0.00028692806240625084
transition_id,22_to_23,0.012173656953167331,0.012374325342291619,0.00020066838912428768
transition_id,23_to_24,0.012173656953167331,0.012115420563524411,-5.8236389642920064e-05
transition_id,24_to_25,0.012173656953167331,0.012107347161817883,-6.630979134944828e-05
transition_id,25_to_26,0.012173656953167331,0.011970960125385892,-0.00020269682778143935
transition_id,26_to_27,0.012173656953167331,0.012230873410679506,5.721645751217454e-05
transition_id,27_to_28,0.012173656953167331,0.013398918098167194,0.0012252611449998629
transition_id,28_to_29,0.012173656953167331,0.01304919304795601,0.0008755360947886783
transition_id,29_to_30,0.012173656953167331,0.013416933306815194,0.0012432763536478625
transition_id,30_to_31,0.012173656953167331,0.010127604031832632,-0.002046052921334699
transition_id,31_to_32,0.012173656953167331,0.012262188558838755,8.85316056714238e-05
transition_id,32_to_33,0.012173656953167331,0.012214955819688535,4.1298866521204125e-05
transition_id,33_to_34,0.012173656953167331,0.01224283654654258,6.917959337524905e-05
transition_id,34_to_35,0.012173656953167331,0.012150222650502874,-2.3434302664456994e-05
transition_id,35_to_36,0.012173656953167331,0.011723638168813801,-0.00045001878435353
transition_id,36_to_37,0.012173656953167331,0.0122626357169256,8.897876375826841e-05
transition_id,37_to_38,0.012173656953167331,0.012254490986009501,8.083403284217007e-05
transition_id,38_to_39,0.012173656953167331,0.012232165674134213,5.85087209668822e-05
transition_id,39_to_40,0.012173656953167331,0.012236415517483322,6.275856431599107e-05
transition_id,40_to_41,0.012173656953167331,0.012198490202349888,2.483324918255668e-05
transition_id,41_to_42,0.012173656953167331,0.01205997643086715,-0.00011368052230018195
transition_id,42_to_43,0.012173656953167331,0.013394744416777528,0.0012210874636101963
transition_id,43_to_44,0.012173656953167331,0.0125862117235404,0.00041255477037306816
transition_id,44_to_45,0.012173656953167331,0.01217932780311455,5.670849947219531e-06
transition_id,45_to_46,0.012173656953167331,0.012053028474075973,-0.00012062847909135796
transition_id,46_to_47,0.012173656953167331,0.011732153726808747,-0.000441503226358584
transition_id,47_to_48,0.012173656953167331,0.012303770213793292,0.0001301132606259612
transition_id,48_to_49,0.012173656953167331,0.012241445608531562,6.778865536423082e-05
transition_id,49_to_50,0.012173656953167331,0.01187603050160789,-0.00029762645155944137
transition_id,50_to_51,0.012173656953167331,0.012450352631018388,0.00027669567785105695
transition_id,51_to_52,0.012173656953167331,0.011875798840396704,-0.0002978581127706277
transition_id,52_to_53,0.012173656953167331,0.011876643277320836,-0.00029701367584649557
transition_id,53_to_54,0.012173656953167331,0.01188602727067965,-0.000287629682487682
transition_id,54_to_55,0.012173656953167331,0.011896706423384524,-0.00027695052978280767
transition_id,55_to_56,0.012173656953167331,0.01142982013319446,-0.000743836819972872
transition_id,56_to_57,0.012173656953167331,0.011432398734642205,-0.0007412582185251267
transition_id,57_to_58,0.012173656953167331,0.01142219179666333,-0.0007514651565040005
transition_id,58_to_59,0.012173656953167331,0.006264247454147378,-0.005909409499019953
transition_id,59_to_60,0.012173656953167331,0.012032755665566526,-0.00014090128760080485
transition_id,60_to_61,0.012173656953167331,0.012512355209014508,0.0003386982558471769
transition_id,61_to_62,0.012173656953167331,0.01157152725764092,-0.0006021296955264106
seller_id,all_in_commerce,0.012173656953167331,0.012185071838758043,1.1414885590711396e-05
seller_id,amco_shop,0.012173656953167331,0.013324549223096319,0.0011508922699289877
seller_id,b_bit_informatica,0.012173656953167331,0.01217019917929398,-3.4577738733509306e-06
seller_id,bartolucci_s_r_l,0.012173656953167331,0.012164809807040476,-8.847146126854735e-06
seller_id,biffidi,0.012173656953167331,0.012160009959367538,-1.3646993799793297e-05
seller_id,bssdnl,0.012173656953167331,0.012174056689318211,3.9973615087972314e-07
seller_id,buysvip,0.012173656953167331,0.012163247553789733,-1.040939937759812e-05
seller_id,bwilld,0.012173656953167331,0.00912392316706149,-0.003049733786105841
seller_id,cadeau_son,0.012173656953167331,0.012181873857892088,8.216904724757043e-06
seller_id,carebsrl_it,0.012173656953167331,0.012164625648314777,-9.031304852554281e-06
seller_id,chip_componentes,0.012173656953167331,0.012158337380834019,-1.5319572333312437e-05
seller_id,computer_milano,0.012173656953167331,0.012181505058268986,7.848105101654346e-06
seller_id,coolibry,0.012173656953167331,0.012158443726485087,-1.5213226682244188e-05
seller_id,cre_elettrodomestici_belluno,0.012173656953167331,0.012169325975523433,-4.330977643898434e-06
seller_id,crinetech,0.012173656953167331,0.01217692825648289,3.271303315559304e-06
seller_id,cyuet,0.012173656953167331,0.013349518933569816,0.0011758619804024852
seller_id,dagimarket,0.012173656953167331,0.01216301780902104,-1.0639144146291912e-05
seller_id,elettronart,0.012173656953167331,0.012160396033797479,-1.3260919369852131e-05
seller_id,erregame_s_p_a,0.012173656953167331,0.012169359396651355,-4.297556515975992e-06
seller_id,euro_dk,0.012173656953167331,0.013399469964182046,0.0012258130110147144
seller_id,excellent_mi_store,0.012173656953167331,0.007818100133949374,-0.004355556819217957
seller_id,flash_shopping,0.012173656953167331,0.012214516077669683,4.0859124502351865e-05
seller_id,fonex_italia,0.012173656953167331,0.01216827824670579,-5.378706461540636e-06
seller_id,galvan_center_s_r_l,0.012173656953167331,0.012166987946908287,-6.669006259044444e-06
seller_id,gioiapura,0.012173656953167331,0.012389569957708799,0.00021591300454146777
seller_id,good_brands_store,0.012173656953167331,0.012163438816161491,-1.0218137005840039e-05
seller_id,gory_s_web_shop,0.012173656953167331,0.012173517026933464,-1.3992623386707703e-07
seller_id,groove_to_s_r_l,0.012173656953167331,0.012173656953180517,1.318563314089971e-14
seller_id,gserviceshop,0.012173656953167331,0.012154056725067256,-1.9600228100075112e-05
seller_id,hamradioshop_srl,0.012173656953167331,0.012161356049972859,-1.2300903194472149e-05
