term,estimate,se,t_stat,pvalue,ci_low,ci_high,absorbed_or_missing,nobs,observations_with_positive_exposure
fba_x_dropouts_above_fba,0.0007634324459261345,0.0,,,0.0007634324459261345,0.0007634324459261345,False,4958,1097
fba_x_dropouts_above_nonfba,-0.0019308974949573386,22034.546314802712,-8.763046297259908e-08,0.9999999303717162,-44075.6569334697,44075.65307167471,False,4958,843
