label,estimate,se,pvalue,ci_low,ci_high,lag_rank_pct_value,quantile_label
marginal_at_p10,-0.0013687019207584146,0.001635998451187917,0.40612840506516745,-0.004641186059488308,0.0019037822179714785,0.1,p10
marginal_at_p25,-0.0008261442734300303,0.0013171636511415045,0.5328982058793905,-0.0034608638560447323,0.0018085753091846716,0.25,p25
marginal_at_median,7.811847211727698e-05,0.0015255138277424172,0.9593298995565076,-0.002973363514968517,0.003129600459203071,0.5,median
marginal_at_p75,0.0009823812176645841,0.002370951532819213,0.6801023594139814,-0.0037602279695350587,0.005724990404864227,0.75,p75
marginal_at_p90,0.0015249388649929685,0.0029824279826396864,0.6110120458497681,-0.004440805332995579,0.007490683062981516,0.9,p90
