method,term,estimate,se,test_statistic,dof_reference,pvalue,theory_directional_pvalue_positive,pvalue_type,valid_replications,invalid_replications,valid_replication_share,invalid_replication_share,source,note
preferred_two_way_seller_transition_clustered,fba_x_dropouts_total_focal,0.002467258032983047,0.0007648028355501124,3.226005341897538,60.0,0.002034209310939117,0.0010171046554695584,two_sided_t,,,,,dynamic_fba_premium_inference_table,Primary final dynamic premium inference
cr2_seller,fba_x_dropouts_total_focal,0.002467258032983047,0.0006750381771062909,3.654990364485051,18.071781293432196,0.001801587046029951,0.0009007935230149755,two_sided_t,,,,,dynamic_fba_premium_inference_table,Bell-McCaffrey-style one-way CR2 correction on the residualized final premium design
cr2_transition,fba_x_dropouts_total_focal,0.002467258032983047,0.0008031976494448902,3.071794389199508,5.442579138615414,0.024823584232769758,0.012411792116384879,two_sided_t,,,,,dynamic_fba_premium_inference_table,Bell-McCaffrey-style one-way CR2 correction on the residualized final premium design
two_way_wild_cluster_bootstrap,fba_x_dropouts_total_focal,0.002467258032983047,0.0007648028355501124,3.226005341897538,,0.008831794460056202,,two_sided_studentized_wild_cluster_bootstrap,4981.0,18.0,0.9963992798559712,0.0036007201440288058,dynamic_fba_premium_inference_table,Restricted residual wild cluster bootstrap for the final FBA turnover-premium term
