lag_rank_quartile,dropout_events,unique_sellers,fba_share,mean_lag_rank_pct,median_lag_rank_pct,mean_price_ratio_to_market,share_price_above_q95,share_price_above_q99,share_reappeared_later,share_reappeared_within_two_snapshots,share_stockout_consistent_broad,share_stockout_consistent_strict
bottom_25pct,20,15,0.0,0.8922166891504146,0.8918918918918919,1.2569985702912236,0.25,0.05,0.65,0.3,0.65,0.3
q2_25_50pct,6,5,0.0,0.44229615577930187,0.47191011235955055,1.026251586680653,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
q3_50_75pct,13,11,0.0,0.6021352749891008,0.6266666666666667,1.0527286584395663,0.0,0.0,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077
top_25pct,21,17,0.8571428571428571,0.07379266915561677,0.0821917808219178,0.8389716318195681,0.0,0.0,0.3333333333333333,0.047619047619047616,0.3333333333333333,0.047619047619047616
