sample,outcome,specification,estimator,inference,term_name,coef_fba,se_fba,test_statistic,pvalue_fba,ci_low,ci_high,stars,dof_reference,nobs,r_squared,seller_clusters,market_clusters,model_label,price_measure,star_form,positive_review_form,comparison_population,rows,markets,fba_rows,nonfba_rows,fba_share
propensity_0_10_0_90,rank_pct,split_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.005532145252313238,0.0034757747518341397,-1.5916293912296724,0.11831764321163063,-0.012528516953115448,0.0014642264484889716,,46,1593,0.9866457049177223,47,62,split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,propensity_0_10_0_90,1593,62,726,867,0.455743879472693
full_sample,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05072587892529988,0.015952851761260586,-3.179737371375884,0.0023168955300005845,-0.0826255775550446,-0.018826180295555155,***,61,5107,0.959363038909812,119,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0014462392908058696,0.0049062675032614115,-0.29477383567946325,0.7691675483795193,-0.011256927504621622,0.008364448923009884,,61,2205,0.9856628764557692,62,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_common_support,2205,62,934,1271,0.4235827664399093
propensity_0_05_0_95,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0054486234618472875,0.003950914000988878,-1.3790792359650315,0.17290605404465587,-0.013348964280511367,0.0024517173568167922,,61,2129,0.9869675859582754,62,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_0_05_0_95,2129,62,812,1317,0.38139971817754814
propensity_0_10_0_90,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0039910049065160005,0.004576611576203075,-0.8720436156889426,0.3876177345495837,-0.013197959829968367,0.005215950016936366,,47,1564,0.9809504004173499,48,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_0_10_0_90,1564,62,719,845,0.45971867007672634
full_sample,rank_pct,total_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04889157615021737,0.014437426584534507,-3.386446737162317,0.001243869381660545,-0.07776099485528551,-0.02002215744514924,***,61,5107,0.9592811201185117,119,62,total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,total_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,5.3557451733073774e-05,0.0053248972703479796,0.010057931451806923,0.9920078895921927,-0.01059423271772992,0.010701347621196067,,61,2948,0.988763216939813,77,62,total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_common_support,2948,62,928,2020,0.3147896879240163
propensity_0_05_0_95,rank_pct,total_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0014297294139328407,0.006063109576464179,-0.2358079457252058,0.8143716350836734,-0.01355366632143929,0.01069420749357361,,61,2265,0.9830370515000801,64,62,total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_0_05_0_95,2265,62,790,1475,0.3487858719646799
propensity_0_10_0_90,rank_pct,total_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0038017033369378995,0.005507144067091977,-0.690322114443135,0.4930614380702747,-0.014852596384182445,0.0072491897103066465,,52,1784,0.9807440485091684,53,62,total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_0_10_0_90,1784,62,691,1093,0.3873318385650224
full_sample,rank_pct,total_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04775602502553554,0.016039940941929905,-2.9773192556274837,0.004166346761637962,-0.07982986923494452,-0.01568218081612656,***,61,5107,0.9599581263730527,119,62,total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,total_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0019280678388707998,0.0048910142738495185,-0.3942061361749607,0.6948501237684632,-0.01171496479500743,0.00785882911726583,,59,2199,0.98556042133705,60,62,total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,propensity_common_support,2199,62,942,1257,0.42837653478854026
propensity_0_05_0_95,rank_pct,total_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.006440447456986994,0.0038587043592045365,-1.6690699409567302,0.10040207266163481,-0.014161697045164321,0.001280802131190334,,59,2133,0.9874394911385225,60,62,total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,propensity_0_05_0_95,2133,62,819,1314,0.38396624472573837
propensity_0_10_0_90,rank_pct,total_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.004669004696594236,0.004738530049266864,-0.985327653945471,0.32961765959885625,-0.01420717097811097,0.004869161584922498,,46,1606,0.9800935755120384,47,62,total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,propensity_0_10_0_90,1606,62,719,887,0.4476961394769614
full_sample,rank_pct,total_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04707510850505517,0.014354747164214518,-3.279410495115543,0.0017213209595829948,-0.07577919949125775,-0.018371017518852596,***,61,5107,0.9599477167977929,119,62,total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,total_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0009641967467021416,0.004995945129982574,-0.19299586396888724,0.847603357525063,-0.010954206457955905,0.009025812964551622,,61,2761,0.988381185776941,75,62,total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,propensity_common_support,2761,62,923,1838,0.33429916696848966
propensity_0_05_0_95,rank_pct,total_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0013264972622784033,0.00545604476437155,-0.24312433632153213,0.8087247894197347,-0.01223653305390391,0.009583538529347103,,61,2228,0.9839123465399771,63,62,total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,propensity_0_05_0_95,2228,62,802,1426,0.3599640933572711
propensity_0_10_0_90,rank_pct,total_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0059470922941703905,0.004914782801180475,-1.21004173220879,0.2317349151415371,-0.015809325499731325,0.003915140911390542,,52,1807,0.9818720861948835,53,62,total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,propensity_0_10_0_90,1807,62,693,1114,0.3835085777531821
