sample,outcome,specification,estimator,inference,term_name,coef_fba,se_fba,test_statistic,pvalue_fba,ci_low,ci_high,stars,dof_reference,nobs,r_squared,seller_clusters,market_clusters
full_sample,rank_pct,spec_1_fba_only,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.38043551678243925,0.04985169395280858,-7.631345830345771,1.8972445836595853e-10,-0.48012013976242485,-0.28075089380245366,***,61,5107,0.26552048430448905,119,62
full_sample,rank_pct,spec_2_fba_reputation,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.3964094087607276,0.05581317809423902,-7.102433910704766,1.5448979873156077e-09,-0.5080147560314908,-0.2848040614899644,***,61,5107,0.30471548991960407,119,62
full_sample,rank_pct,spec_3_fba_reputation_totalprice_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05072587892529988,0.015952851761260586,-3.179737371375884,0.0023168955300005845,-0.0826255775550446,-0.018826180295555155,***,61,5107,0.959363038909812,119,62
full_sample,rank_pct,spec_4_fba_reputation_price_shipping_delivery,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05103815170628886,0.015968230038121634,-3.196230990187598,0.0022065363914001157,-0.08296860110114151,-0.0191077023114362,***,61,5107,0.9593810046078374,119,62
