sample,outcome,specification,estimator,inference,contrast_label,estimate,se,test_statistic,pvalue,ci_low,ci_high,stars,dof_reference,resolved_weights,moderator,quantile,raw_value,centered_value
full_sample,rank_pct,interaction_single_product_price,market_fe_ols_interaction,two_way_seller_market,FBA association at prezzo p25,-0.0536938958151302,0.0151269856429323,-3.5495436488509577,0.0007498615843029,-0.0839421730766177,-0.0234456185536428,***,61,"{'fba_from_shipper': 1.0, 'fba_from_shipper:prezzo_c': -5.924525161542981}",prezzo,p25,45.0,-5.924525161542981
full_sample,rank_pct,interaction_single_product_price,market_fe_ols_interaction,two_way_seller_market,FBA association at prezzo median,-0.0354564144441507,0.0128549694318266,-2.7581873789887736,0.0076597494537762,-0.0611615145044202,-0.0097513143838811,***,61,"{'fba_from_shipper': 1.0, 'fba_from_shipper:prezzo_c': -1.8745251615429837}",prezzo,median,49.05,-1.874525161542984
full_sample,rank_pct,interaction_single_product_price,market_fe_ols_interaction,two_way_seller_market,FBA association at prezzo p75,-0.0014581467031887,0.0144978988471203,-0.1005764158354859,0.9202165610961552,-0.0304484871707616,0.027532193764384,,61,"{'fba_from_shipper': 1.0, 'fba_from_shipper:prezzo_c': 5.675474838457021}",prezzo,p75,56.6,5.675474838457021
