object,check_type,required_columns,rows,missing_columns,critical,passed,warning,detail,quality_passed
above_below_decomposition_table,numerical_pathology_warning,finite positive standard errors in interpreted rows; condition-number flags exposed,3,,False,True,True,numerical_pathology_scan: zero_se_present=False; ill_conditioned_present=True; interpret flagged rows only as appendix/unstable,True
dropout_composition_table,numerical_pathology_warning,finite positive standard errors in interpreted rows; condition-number flags exposed,2,,False,True,True,numerical_pathology_scan: zero_se_present=True; ill_conditioned_present=False; interpret flagged rows only as appendix/unstable,False
dynamic_vacancy_rank_tier_models_table,numerical_pathology_warning,finite positive standard errors in interpreted rows; condition-number flags exposed,24,,False,True,True,numerical_pathology_scan: zero_se_present=True; ill_conditioned_present=False; interpret flagged rows only as appendix/unstable,False
